author,local_guide_info,rating,review,date_text,text_backup
Vicente Joaquin Lobaco Ferrer,Local Guide · 165 reseñas · 106 fotos,5 estrellas,"Muy buena la exñosicion sobre comic que esta hasta Marzo. Merece la pena pasarse a verla.

Para clientes de La Caixa es gratis.",Hace 8 meses,"Vicente Joaquin Lobaco Ferrer
Local Guide · 165 reseñas · 106 fotos






Hace 8 meses
Muy buena la exñosicion sobre comic que esta hasta Marzo. Merece la pena pasarse a verla.

Para clientes de La Caixa es gratis.
Se visitó en
Día laborable
Tiempo de espera
Sin espera
Reserva recomendada
No
13 más

Me gusta

Compartir"
Jota ypunto,Local Guide · 474 reseñas · 3.455 fotos,5 estrellas,"Un centro espectacular, uno de los edificios más modernos de Zaragoza.

El auditorio para más de 200 personas está genial.…",Hace 2 años,"Jota ypunto
Local Guide · 474 reseñas · 3.455 fotos






Hace 2 años
Un centro espectacular, uno de los edificios más modernos de Zaragoza.

El auditorio para más de 200 personas está genial.

Un gran espacio para eventos, exposiciones y punto de encuentro.
3 más

2

Compartir"
esfero arquitectura,Local Guide · 29 reseñas · 18 fotos,5 estrellas,Fantástica exposición de Momias traídas del Britsh Museum. Y fantástico edificio de Pinos,Hace 5 meses,"esfero arquitectura
Local Guide · 29 reseñas · 18 fotos






Hace 5 meses
Fantástica exposición de Momias traídas del Britsh Museum. Y fantástico edificio de Pinos

Me gusta

Compartir"
Daniela Dominik,Local Guide · 26 reseñas · 34 fotos,5 estrellas,"Muy interesante! Cada tres meses hay otras exposiciones con diversos temas sociales, conciertos, fiestas artísticas etc. Personal muy amable! Gracias!",Hace un año,"Daniela Dominik
Local Guide · 26 reseñas · 34 fotos






Hace un año
Muy interesante! Cada tres meses hay otras exposiciones con diversos temas sociales, conciertos, fiestas artísticas etc. Personal muy amable! Gracias!
12 más

3

Compartir"
Laura Leonarte,Local Guide · 11 reseñas · 15 fotos,5 estrellas,"Estuvimos en la exposición de Cómic de CaixaForum Zaragoza el sábado por la mañana y no solo pudimos disfrutar de obras de arte del comic español sino también europeo y estadounidense. No había mucha gente y se podía recorrer con tranquilidad. La tienda de souvenirs de la planta baja es muy bonita y personalmente recomiendo visitar la terraza de la tercera planta, aunque si quieres disfrutar del restaurante del CaixaForum creo que es mejor reservar con antelación.",Hace 7 meses,"Laura Leonarte
Local Guide · 11 reseñas · 15 fotos






Hace 7 meses
Estuvimos en la exposición de Cómic de CaixaForum Zaragoza el sábado por la mañana y no solo pudimos disfrutar de obras de arte del comic español sino también europeo y estadounidense. No había mucha gente y se podía recorrer con tranquilidad. La tienda de souvenirs de la planta baja es muy bonita y personalmente recomiendo visitar la terraza de la tercera planta, aunque si quieres disfrutar del restaurante del CaixaForum creo que es mejor reservar con antelación.
Se visitó en
Fin de semana
Tiempo de espera
Sin espera
Reserva recomendada
No

Me gusta

Compartir"
Sheila Valiente,Local Guide · 62 reseñas · 77 fotos,5 estrellas,Me ha encantado la exposición de Jean Paul Gaultier. Además pudimos acudir a verla de forma gratuita durante la noche de los museos. La única pega que había muchísima gente.,Hace un año,"Sheila Valiente
Local Guide · 62 reseñas · 77 fotos






Hace un año
Me ha encantado la exposición de Jean Paul Gaultier. Además pudimos acudir a verla de forma gratuita durante la noche de los museos. La única pega que había muchísima gente.
2 más

Me gusta

Compartir"
Sebas Noguero,Local Guide · 68 reseñas · 332 fotos,5 estrellas,Hemos ido a ver la exposicion Faraon y todo muy bien. Espectaculares piezas del British Museum. Incluso hay dos guias que te explican detalles de las figuras y de la historia de Egipto.,Hace 2 años,"Sebas Noguero
Local Guide · 68 reseñas · 332 fotos






Hace 2 años
Hemos ido a ver la exposicion Faraon y todo muy bien. Espectaculares piezas del British Museum. Incluso hay dos guias que te explican detalles de las figuras y de la historia de Egipto.
16 más

Me gusta

Compartir"
Juan Diego,5 reseñas · 20 fotos,4 estrellas,"Exposiciones itinerantes muy interesantes y culturalmente enriquecedoras para todas las edades. Sería necesario limitar el aforo , en momentos puntuales la visita no se puede realizar adecuadamente, perdiéndose con ello todo el trabajo…",Hace 4 meses,"Juan Diego
5 reseñas · 20 fotos






Hace 4 meses
Exposiciones itinerantes muy interesantes y culturalmente enriquecedoras para todas las edades. Sería necesario limitar el aforo , en momentos puntuales la visita no se puede realizar adecuadamente, perdiéndose con ello todo el trabajo realizado para tener exposiciones de calidad .
El centro  indudablemente merece una visita, no solo por sus exposiciones sino también por su edificio y su zona de restauración .
Se visitó en
Día festivo
Tiempo de espera
Sin espera

Me gusta

Compartir"
Alicia Pérez Sellés,Local Guide · 273 reseñas · 3.460 fotos,4 estrellas,"Hay diversas visitas a exposiciones. También hay actividades para niños.
En estos momentos hay una exposición Egipcia con piezas del museo Británico y otra exposición del sueño americano del pop.",Hace 2 años,"Alicia Pérez Sellés
Local Guide · 273 reseñas · 3.460 fotos






Hace 2 años
Hay diversas visitas a exposiciones. También hay actividades para niños.
En estos momentos hay una exposición Egipcia con piezas del museo Británico y otra exposición del sueño americano del pop.
22 más

Me gusta

Compartir"
juan gonzalez,Local Guide · 634 reseñas · 2.557 fotos,4 estrellas,"Es un moderno edificio de cuatro plantas donde se exponen muestras temporales, y que está construido en hierro, cristal y cemento, por lo que está profusamente iluminado. Tiene varias entradas con puertas correderas y un amplio vestíbulo,…",Hace 2 años,"juan gonzalez
Local Guide · 634 reseñas · 2.557 fotos






Hace 2 años
Es un moderno edificio de cuatro plantas donde se exponen muestras temporales, y que está construido en hierro, cristal y cemento, por lo que está profusamente iluminado. Tiene varias entradas con puertas correderas y un amplio vestíbulo,… Más
10 más

1

Compartir"
Víctor Blau,Local Guide · 273 reseñas · 613 fotos,5 estrellas,"Edificio sorprendente, la recepcionísta amabilísima. Las dos exposiciones del momento: Tesla y la moda en el cine, ambas espectaculares. Entrada gratuita para clientes. Aparcamiento gratis los domingos en la zona azul.",Hace un año,"Víctor Blau
Local Guide · 273 reseñas · 613 fotos






Hace un año
Edificio sorprendente, la recepcionísta amabilísima. Las dos exposiciones del momento: Tesla y la moda en el cine, ambas espectaculares. Entrada gratuita para clientes. Aparcamiento gratis los domingos en la zona azul.
2 más

Me gusta

Compartir"
Marian Martínez,4 reseñas,4 estrellas,"Me encantan las exposiciones que traéis, por eso hoy, día de los museos he animado a mi hijo y sus amigos, de 16 años, que se acercasen a ver la exposición. La sorpresa ha sido cuando nos han dicho que tras darles la entrada les han…",Hace 4 meses,"Marian Martínez
4 reseñas






Hace 4 meses
Me encantan las exposiciones que traéis, por eso hoy, día de los museos he animado a mi hijo y sus amigos, de 16 años, que se acercasen a ver la exposición. La sorpresa ha sido cuando nos han dicho que tras darles la entrada les han… Más

Me gusta

Compartir"
Vero Vegana Salvaje,Local Guide · 11 reseñas · 6 fotos,5 estrellas,"Fuimos a ver la exposición sobre el mamut, y la verdad que salí encantada. Es un lugar perfecto para asistir a todo tipo de actividades históricas o de interés. Tienen muchas opciones y actividades diferentes. Un precio muy asequible y un personal encantador y con muchos conocimientos.",Hace 2 años,"Vero Vegana Salvaje
Local Guide · 11 reseñas · 6 fotos






Hace 2 años
Fuimos a ver la exposición sobre el mamut, y la verdad que salí encantada. Es un lugar perfecto para asistir a todo tipo de actividades históricas o de interés. Tienen muchas opciones y actividades diferentes. Un precio muy asequible y un personal encantador y con muchos conocimientos.

1

Compartir"
Antuan Moros,Local Guide · 300 reseñas · 3.188 fotos,4 estrellas,"Bonito y moderno museo de original diseño totalmente accesible en silla de ruedas. Suele haber 2 exposiciones simultáneas que se pueden ver por 6 €. Gratis si eres cliente Caixabank. Tiene una agradable y tranquila cafetería-restaurante con terraza y buen servicio en la planta superior, que regala buenas vistas.",Hace 3 años,"Antuan Moros
Local Guide · 300 reseñas · 3.188 fotos






Hace 3 años
Bonito y moderno museo de original diseño totalmente accesible en silla de ruedas. Suele haber 2 exposiciones simultáneas que se pueden ver por 6 €. Gratis si eres cliente Caixabank. Tiene una agradable y tranquila cafetería-restaurante con terraza y buen servicio en la planta superior, que regala buenas vistas.
0:11
12 más

12

Compartir"
Trini Marco,Local Guide · 311 reseñas · 2.210 fotos,5 estrellas,"Entrar en el edificio es estimulante  techos altos,escaleras rojas,la tienda del vestíbulo.
Fuimos a una actividad llamada Symphony. Se trata de realidad virtual,puedes…",Hace un año,"Trini Marco
Local Guide · 311 reseñas · 2.210 fotos






Hace un año
Entrar en el edificio es estimulante  techos altos,escaleras rojas,la tienda del vestíbulo.
Fuimos a una actividad llamada Symphony. Se trata de realidad virtual,puedes… Más
6 más

Me gusta

Compartir"
Esther Marco,Local Guide · 16 reseñas · 1 foto,2 estrellas,"La exposición era excelente, pero falla la organización. Accedimos pagando muestra entrada al mismo tiempo que accedía un grupo voluminoso, a los que le esperaba un guía dentro. Para nuestra sorpresa, no éramos capaces de ver, ni leer nada,…",Hace 3 meses,"Esther Marco
Local Guide · 16 reseñas · 1 foto






Hace 3 meses
La exposición era excelente, pero falla la organización. Accedimos pagando muestra entrada al mismo tiempo que accedía un grupo voluminoso, a los que le esperaba un guía dentro. Para nuestra sorpresa, no éramos capaces de ver, ni leer nada,… Más

Me gusta

Compartir"
Iván Olvera Zamora,Local Guide · 285 reseñas · 710 fotos,5 estrellas,"Muy amable el personal de taquillas, nos explicaron todo muy bien, nos invitaron también a ir a la cafetería, la exposición de Print 3D ha sido un gran descubrimiento y ayuda abrir la mente de lo que las impresoras pueden hacer.
Muy recomendable!",Hace 2 años,"Iván Olvera Zamora
Local Guide · 285 reseñas · 710 fotos






Hace 2 años
Muy amable el personal de taquillas, nos explicaron todo muy bien, nos invitaron también a ir a la cafetería, la exposición de Print 3D ha sido un gran descubrimiento y ayuda abrir la mente de lo que las impresoras pueden hacer.
Muy recomendable!
3 más

Me gusta

Compartir"
Eva Checa,Local Guide · 14 reseñas · 12 fotos,5 estrellas,"No había estado, y nos encantó. Repetiremos independientemente de cual sea la exposición. El personal muy amable.",Hace un año,"Eva Checa
Local Guide · 14 reseñas · 12 fotos






Hace un año
No había estado, y nos encantó. Repetiremos independientemente de cual sea la exposición. El personal muy amable.
Se visitó en
Día laborable
Tiempo de espera
Sin espera
Reserva recomendada
No lo sé
0:29
0:29

Me gusta

Compartir"
Itxaso C.G.,Local Guide · 170 reseñas · 476 fotos,4 estrellas,"Se trata de un centro cultural con interesantes exposiciones. La última a la que fuimos fue ""Faraón"" sobre la vida en Egipto con objetos propios del British Museum y mereció mucho la pena. Cada año publican las diferentes exposiciones que van a llevar y son actas para todos los públicos. Esta muy cerca del centro de la ciudad. Merece la pena visitar la cafetería para ver las vistas de otra Zaragoza menos turística eso sí, las consumiciones quizá de un precio algo elevado. El precio de las entradas rondan los 6 euros pero si eres menor de edad, cliente de la entidad, ect. hay descuentos. El trato del personal muy bueno.",Hace 2 años,"Itxaso C.G.
Local Guide · 170 reseñas · 476 fotos






Hace 2 años
Se trata de un centro cultural con interesantes exposiciones. La última a la que fuimos fue ""Faraón"" sobre la vida en Egipto con objetos propios del British Museum y mereció mucho la pena. Cada año publican las diferentes exposiciones que van a llevar y son actas para todos los públicos. Esta muy cerca del centro de la ciudad. Merece la pena visitar la cafetería para ver las vistas de otra Zaragoza menos turística eso sí, las consumiciones quizá de un precio algo elevado. El precio de las entradas rondan los 6 euros pero si eres menor de edad, cliente de la entidad, ect. hay descuentos. El trato del personal muy bueno.

Me gusta

Compartir"
Daniel Sancho Fernandez,31 reseñas · 4 fotos,5 estrellas,"Una maravilla  de espacio ,que alberga exposiciones de calidad ,talleres, concierto charlas ,cine  y una tienda muy apetecible, además de unas vistas muy chulas.",Hace un año,"Daniel Sancho Fernandez
31 reseñas · 4 fotos






Hace un año
Una maravilla  de espacio ,que alberga exposiciones de calidad ,talleres, concierto charlas ,cine  y una tienda muy apetecible, además de unas vistas muy chulas.
0:02
0:11
2 más

Me gusta

Compartir"
Ernesto de Benito Sanjuán (Abogado),Local Guide · 65 reseñas · 12 fotos,2 estrellas,"Entramos a la exposición sobre las momias a la vez que una visita guiada. No había manera de leer por la voz tan alta en la que el guía daba las explicaciones y tampoco se podía ver las vitrinas sin ser arrollado por el grupo. Y el colmo fue que la señora encargada de la seguridad nos echó la bronca porque -según ella- nos estábamos aprovechando de las explicaciones del guía sin haberlo pagado.
Fallo de organización. Si hay visitas guiadas, que no dejen entrar a nadie; o que fijen las visitas guiadas a horas en concreto en que no haya otras personas.",Hace 3 meses,"Ernesto de Benito Sanjuán (Abogado)
Local Guide · 65 reseñas · 12 fotos






Hace 3 meses
Entramos a la exposición sobre las momias a la vez que una visita guiada. No había manera de leer por la voz tan alta en la que el guía daba las explicaciones y tampoco se podía ver las vitrinas sin ser arrollado por el grupo. Y el colmo fue que la señora encargada de la seguridad nos echó la bronca porque -según ella- nos estábamos aprovechando de las explicaciones del guía sin haberlo pagado.
Fallo de organización. Si hay visitas guiadas, que no dejen entrar a nadie; o que fijen las visitas guiadas a horas en concreto en que no haya otras personas.
Se visitó en
Fin de semana
Tiempo de espera
Sin espera
Reserva recomendada
No lo sé

Me gusta

Compartir"
Diego U.C,Local Guide · 60 reseñas · 41 fotos,5 estrellas,"Espacio de exposiciones muy bonito, tuene una arquitectura moderna y vanguardista, de noche iluminado es precioso. Ofrece una variedad de exposiciones que van cambiando con el tiempo. Los clientes de Caixa tienen la entrada gratuita. En la plata superior disponen de un tataurante con terraza con vistas.",Hace 3 meses,"Diego U.C
Local Guide · 60 reseñas · 41 fotos






Hace 3 meses
Espacio de exposiciones muy bonito, tuene una arquitectura moderna y vanguardista, de noche iluminado es precioso. Ofrece una variedad de exposiciones que van cambiando con el tiempo. Los clientes de Caixa tienen la entrada gratuita. En la plata superior disponen de un tataurante con terraza con vistas.
Se visitó en
Día laborable
Tiempo de espera
Sin espera
Reserva recomendada
Sí

Me gusta

Compartir"
Juan Cisneros,Local Guide · 323 reseñas · 1.488 fotos,4 estrellas,"Buenas exposiciones de Tesla y Jean-Paul Gaultier. La de Tesla aparte de contarte la historia de su vida tienes varios experimentos prácticos muy educativos.
La exposición de Gaultier tiene vestidos de varias épocas y fotos y carteles de películas tanto originales como reproducciones.
Merece la pena visitarlo.",Hace un año,"Juan Cisneros
Local Guide · 323 reseñas · 1.488 fotos






Hace un año
Buenas exposiciones de Tesla y Jean-Paul Gaultier. La de Tesla aparte de contarte la historia de su vida tienes varios experimentos prácticos muy educativos.
La exposición de Gaultier tiene vestidos de varias épocas y fotos y carteles de películas tanto originales como reproducciones.
Merece la pena visitarlo.
Se visitó en
Fin de semana
Tiempo de espera
Sin espera
Reserva recomendada
Sí
0:12

Me gusta

Compartir"
Juana Mary Lecumberri Romea,Local Guide · 473 reseñas · 2.124 fotos,5 estrellas,"El edificio en sí es curioso, suele tener varias exposiciones. Hoy hemos estado en la de Mamut, una guía muy amena que ha hecho que se pasara el tiempo sin darnos cuenta. Se exhibe el esqueleto del Mamut encontrado tras el deshielo en Siberia",Hace 2 años,"Juana Mary Lecumberri Romea
Local Guide · 473 reseñas · 2.124 fotos






Hace 2 años
El edificio en sí es curioso, suele tener varias exposiciones. Hoy hemos estado en la de Mamut, una guía muy amena que ha hecho que se pasara el tiempo sin darnos cuenta. Se exhibe el esqueleto del Mamut encontrado tras el deshielo en Siberia
9 más

Me gusta

Compartir"
Ana Pérez,Local Guide · 50 reseñas · 14 fotos,5 estrellas,"Ideal para compartir cultura con tus hijos, de una forma amena y muy visual. Siempre que nos escapamos por Zaragoza, aprovechamos y vemos la exposición que esté en el momento, siempre de 10!",Hace 4 meses,"Ana Pérez
Local Guide · 50 reseñas · 14 fotos






Hace 4 meses
Ideal para compartir cultura con tus hijos, de una forma amena y muy visual. Siempre que nos escapamos por Zaragoza, aprovechamos y vemos la exposición que esté en el momento, siempre de 10!
Se visitó en
Día festivo
Tiempo de espera
Sin espera
Reserva recomendada
Sí

Me gusta

Compartir"
Carlos Martin-Posadillo Franco,Local Guide · 731 reseñas · 3.511 fotos,5 estrellas,Un centro cultural de referencia en Zaragoza. Las exposiciones cambian continuamente. La cafetería suele cobrar con espectáculos en vivo.,Hace 2 años,"Carlos Martin-Posadillo Franco
Local Guide · 731 reseñas · 3.511 fotos






Hace 2 años
Un centro cultural de referencia en Zaragoza. Las exposiciones cambian continuamente. La cafetería suele cobrar con espectáculos en vivo.
28 más

Me gusta

Compartir"
Silvia Auré,1 reseña,5 estrellas,"Recepcionista muy amable, trato correcto, todo muy limpio y una exposición inolvidable.  Entrada 6 euros pero si eres de la caixa entras a todas las exposiciones de forma gratuita! Genial 👏🏼",Hace 3 meses,"Silvia Auré
1 reseña






Hace 3 meses
Recepcionista muy amable, trato correcto, todo muy limpio y una exposición inolvidable.  Entrada 6 euros pero si eres de la caixa entras a todas las exposiciones de forma gratuita! Genial 👏🏼
Se visitó en
Día laborable
Tiempo de espera
Sin espera
Reserva recomendada
No

1

Compartir"
Ramón Alujas,Local Guide · 202 reseñas · 702 fotos,5 estrellas,"Las exposiciones están muy bien, aunque la q más me ha gustado es la de los espías y el cine.",Hace un mes,"Ramón Alujas
Local Guide · 202 reseñas · 702 fotos






Hace un mes
Las exposiciones están muy bien, aunque la q más me ha gustado es la de los espías y el cine.
Se visitó en
Fin de semana
Tiempo de espera
Sin espera
Reserva recomendada
Sí

Me gusta

Compartir"
Tomás Lozano,Local Guide · 157 reseñas · 521 fotos,5 estrellas,"He visto una exposición de momias que me ha gustado mucho. No es muy extensa, pero está muy bien hecha. El edificio de Caixa forum de Zaragoza me parece muy bonito y la terraza del último piso está muy bien. Me ha gustado y creo que repetiré con alguna otra exposición.",Hace 5 meses,"Tomás Lozano
Local Guide · 157 reseñas · 521 fotos






Hace 5 meses
He visto una exposición de momias que me ha gustado mucho. No es muy extensa, pero está muy bien hecha. El edificio de Caixa forum de Zaragoza me parece muy bonito y la terraza del último piso está muy bien. Me ha gustado y creo que repetiré con alguna otra exposición.
Se visitó en
Día laborable
Tiempo de espera
Sin espera
Reserva recomendada
Sí

Me gusta

Compartir"
José Luis Domínguez Sánchez,Local Guide · 429 reseñas · 2.209 fotos,4 estrellas,"Entretenido. Espacio cultural en un edificio de diseño moderno. Distribuido en varias plantas con salas de exposiciones, talleres de actividades, balcones miradores, tienda y cafetería restaurante. Ubicado junto a la estación de tren de Portillo.",Hace 6 años,"José Luis Domínguez Sánchez
Local Guide · 429 reseñas · 2.209 fotos






Hace 6 años
Entretenido. Espacio cultural en un edificio de diseño moderno. Distribuido en varias plantas con salas de exposiciones, talleres de actividades, balcones miradores, tienda y cafetería restaurante. Ubicado junto a la estación de tren de Portillo.
13 más

Me gusta

Compartir"
Sergio Ruiz,Local Guide · 29 reseñas · 123 fotos,5 estrellas,El edificio es muy bonito y suele contar con exposiciones temporales que merecen la pena. Y tras verlas se puede tomar algo en la cafetería.,Hace 3 meses,"Sergio Ruiz
Local Guide · 29 reseñas · 123 fotos






Hace 3 meses
El edificio es muy bonito y suele contar con exposiciones temporales que merecen la pena. Y tras verlas se puede tomar algo en la cafetería.
Se visitó en
Fin de semana
Tiempo de espera
Sin espera
Reserva recomendada
Sí

Me gusta

Compartir"
David Montaño,Local Guide · 845 reseñas · 1.487 fotos,5 estrellas,"La exposición de Cine y Moda es muy interesante, vale la pena!. La entrada es gratis para cliente de Caixa.",Hace un año,"David Montaño
Local Guide · 845 reseñas · 1.487 fotos






Hace un año
La exposición de Cine y Moda es muy interesante, vale la pena!. La entrada es gratis para cliente de Caixa.
2 más

Me gusta

Compartir"
S CatGar,17 reseñas · 5 fotos,5 estrellas,"Llevaba un tiempo dubitativo con esta exposición. No sabía qué me iba a encontrar en ""NON FINITO"", pero desde luego que fué toda una sorpresa, un descubrimiento.

Hicimos la visita de la mano de NEREA, fué sin duda la culpable de que nos encantara esta muestra. Una guía con mucha chispa, con un registro genial , dinámica y muy amena. Nos dió una visión apasionante de estas piezas no terminadas. Fué Clave!

Sin duda, recomendaría tanto la exposición, como que repetiría cualquier otra exhibición con esta guía. MUY MUY TOP!",Hace 2 años,"S CatGar
17 reseñas · 5 fotos






Hace 2 años
Llevaba un tiempo dubitativo con esta exposición. No sabía qué me iba a encontrar en ""NON FINITO"", pero desde luego que fué toda una sorpresa, un descubrimiento.

Hicimos la visita de la mano de NEREA, fué sin duda la culpable de que nos encantara esta muestra. Una guía con mucha chispa, con un registro genial , dinámica y muy amena. Nos dió una visión apasionante de estas piezas no terminadas. Fué Clave!

Sin duda, recomendaría tanto la exposición, como que repetiría cualquier otra exhibición con esta guía. MUY MUY TOP!

Me gusta

Compartir"
Sergio Pérez Pérez,Local Guide · 427 reseñas · 5.421 fotos,4 estrellas,"Modernisimo lugar de exposiciones con muy buen catalogo de actividades
CaixaForum es un centro cultural gestionado por la Fundación ""la Caixa"". Está pensado para todos los públicos, con exposiciones principalmente temporales y ofrece una amplia oferta cultural, artística y educativa. Dispone de un auditorio para 250 personas, una sala de exposiciones de 435 metros cuadrados, una librería, una cafetería, un espacio educativo y una terraza-mirador.1",Hace 3 años,"Sergio Pérez Pérez
Local Guide · 427 reseñas · 5.421 fotos






Hace 3 años
Modernisimo lugar de exposiciones con muy buen catalogo de actividades
CaixaForum es un centro cultural gestionado por la Fundación ""la Caixa"". Está pensado para todos los públicos, con exposiciones principalmente temporales y ofrece una amplia oferta cultural, artística y educativa. Dispone de un auditorio para 250 personas, una sala de exposiciones de 435 metros cuadrados, una librería, una cafetería, un espacio educativo y una terraza-mirador.1
47 más

Me gusta

Compartir"
Olga R.,Local Guide · 53 reseñas · 92 fotos,5 estrellas,"La exposición sobre Faraón, rey de Egipto, hace un recorrido sobre los periodos de la historia de los faraones, sus diferentes orígenes y junto a las piezas traídas del Museo Británico. Precioso 💖…",Hace 2 años,"Olga R.
Local Guide · 53 reseñas · 92 fotos






Hace 2 años
La exposición sobre Faraón, rey de Egipto, hace un recorrido sobre los periodos de la historia de los faraones, sus diferentes orígenes y junto a las piezas traídas del Museo Británico. Precioso 💖…
7 más

Me gusta

Compartir"
Yago Fernandez,Local Guide · 83 reseñas · 289 fotos,5 estrellas,"Cuenta con una cafetería bde acceso libre. La tienda es muy completa y tiene varios objetos interesantes. Las exposiciones van variando, suelen ser muy interesantes. Es un sitio agradable.",Hace 6 años,"Yago Fernandez
Local Guide · 83 reseñas · 289 fotos






Hace 6 años
Cuenta con una cafetería bde acceso libre. La tienda es muy completa y tiene varios objetos interesantes. Las exposiciones van variando, suelen ser muy interesantes. Es un sitio agradable.
6 más

Me gusta

Compartir"
Luis García,Local Guide · 23 reseñas · 29 fotos,4 estrellas,"Muy buena experiencia. Aunque un poco delicado ir con niños pequeños, justo había un grupo de jubilados y nos pidieron hacer especialmente silencio. Las instalaciones perfectas y el trato del personal muy cordial. Las vistas de la cafetería espectaculares, y el personal de la misma, muy amables y profesionales.",Hace 2 años,"Luis García
Local Guide · 23 reseñas · 29 fotos






Hace 2 años
Muy buena experiencia. Aunque un poco delicado ir con niños pequeños, justo había un grupo de jubilados y nos pidieron hacer especialmente silencio. Las instalaciones perfectas y el trato del personal muy cordial. Las vistas de la cafetería espectaculares, y el personal de la misma, muy amables y profesionales.

1

Compartir"
Jordi Alegria,Local Guide · 75 reseñas · 10 fotos,5 estrellas,"Fuimos a ver una exposición de momias del British museum. Estaba muy bien organizado todo.
La cafetería es muy tranquila y con buenas vistas.
La tienda estaba llena de cosas interesantes de varios temas muy distintos.",Hace 5 meses,"Jordi Alegria
Local Guide · 75 reseñas · 10 fotos






Hace 5 meses
Fuimos a ver una exposición de momias del British museum. Estaba muy bien organizado todo.
La cafetería es muy tranquila y con buenas vistas.
La tienda estaba llena de cosas interesantes de varios temas muy distintos.

Me gusta

Compartir"
Gloria JB,Local Guide · 49 reseñas · 52 fotos,5 estrellas,"Es un lugar amplio lleno de cultura. Las exposiciones merecen mucho la pena y más por ese precio (6€ la entrada a todo el edificio, gratuito si eres cliente o con carnet joven).",Hace un año,"Gloria JB
Local Guide · 49 reseñas · 52 fotos






Hace un año
Es un lugar amplio lleno de cultura. Las exposiciones merecen mucho la pena y más por ese precio (6€ la entrada a todo el edificio, gratuito si eres cliente o con carnet joven).

Me gusta

Compartir"
Jordi Ustrell,Local Guide · 3.303 reseñas · 17.743 fotos,5 estrellas,"Un espacio cultural donde continente y contenido pugnan por su belleza y calidad.
El centro es un lujo asiático, pero me admira su capacidad de gestionar adecuadamente los recursos de que disponen.
Sin duda un gran equipamiento para la ciudad.",Hace 4 años,"Jordi Ustrell
Local Guide · 3.303 reseñas · 17.743 fotos






Hace 4 años
Un espacio cultural donde continente y contenido pugnan por su belleza y calidad.
El centro es un lujo asiático, pero me admira su capacidad de gestionar adecuadamente los recursos de que disponen.
Sin duda un gran equipamiento para la ciudad.
3 más

1

Compartir"
Bridget B,11 reseñas,1 estrella,"Luego de visitar el Caiza Forum de Barcelona uno se da cuenta de que este no tiene nada para peques. Nada de actividades, nada de experimientación, ni una película para aprender algo nuevo. Es una pena.
Que grandoso sería que pongais algo así aquí en Zaragoza para los mas pequeños, organizar actividades y eventos para que ellos toquen y aprendan.
El edificio es hermoso, muy moderno.",Hace 3 meses,"Bridget B
11 reseñas






Hace 3 meses
Luego de visitar el Caiza Forum de Barcelona uno se da cuenta de que este no tiene nada para peques. Nada de actividades, nada de experimientación, ni una película para aprender algo nuevo. Es una pena.
Que grandoso sería que pongais algo así aquí en Zaragoza para los mas pequeños, organizar actividades y eventos para que ellos toquen y aprendan.
El edificio es hermoso, muy moderno.
Se visitó en
Fin de semana
Tiempo de espera
Sin espera
Reserva recomendada
No lo sé

Me gusta

Compartir"
Cristina PARIS DOMEQUE,Local Guide · 147 reseñas · 187 fotos,5 estrellas,No defrauda. Buena programación de exposiciones en salas amplias y bien acondicionadas. Ponen a disposición de clientes con movilidad reducida silla de ruedas. La cafetería es un lugar muy agradable. El mirador es fabuloso si no sopla cierzo.,Hace 6 años,"Cristina PARIS DOMEQUE
Local Guide · 147 reseñas · 187 fotos






Hace 6 años
No defrauda. Buena programación de exposiciones en salas amplias y bien acondicionadas. Ponen a disposición de clientes con movilidad reducida silla de ruedas. La cafetería es un lugar muy agradable. El mirador es fabuloso si no sopla cierzo.

Me gusta

Compartir"
beatriz blanco,Local Guide · 27 reseñas · 42 fotos,4 estrellas,"Me han gustado mucho las exposiciones, sobre todo la de Egipto.  Lo que no me ha gustado es que siendo que tiene varios niveles,  no disponga de uno para aparcamientos. Lleguamos tarde a la exposición por estar buscando aparcamiento por la zona.",Hace 2 años,"beatriz blanco
Local Guide · 27 reseñas · 42 fotos






Hace 2 años
Me han gustado mucho las exposiciones, sobre todo la de Egipto.  Lo que no me ha gustado es que siendo que tiene varios niveles,  no disponga de uno para aparcamientos. Lleguamos tarde a la exposición por estar buscando aparcamiento por la zona.
2 más

Me gusta

Compartir"
Jorge Sanz,Local Guide · 1.484 reseñas · 75.461 fotos,5 estrellas,"La fundación caixa sucursal en la ciudad de Zaragoza en un edificio representativo y de arquitectura espectacular que rompe con la monotonía medio industrial de la zona agregándole. Un parque como valor añadido al entorno. Como siempre en los edificios de la fundación caixa podemos encontrar dos exposiciones simultáneas junto con una tienda de recuerdos, muy surtida y zonas comunesdedicadas a la educación. Hay que destacar también su café terraza muy recomendable.",Hace 9 meses,"Jorge Sanz
Local Guide · 1.484 reseñas · 75.461 fotos






Hace 9 meses
La fundación caixa sucursal en la ciudad de Zaragoza en un edificio representativo y de arquitectura espectacular que rompe con la monotonía medio industrial de la zona agregándole. Un parque como valor añadido al entorno. Como siempre en los edificios de la fundación caixa podemos encontrar dos exposiciones simultáneas junto con una tienda de recuerdos, muy surtida y zonas comunesdedicadas a la educación. Hay que destacar también su café terraza muy recomendable.
Se visitó en
Fin de semana
Tiempo de espera
Sin espera
Reserva recomendada
No
0:17

1

Compartir"
