author,local_guide_info,rating,review,date,price,food,service,atmosphere,recommendations,text_backup
Adrián Pineda González,Local Guide · 44 reseñas · 2 fotos,4 estrellas,"Buen sitio donde a cada cerveza le acompaña una buena ración de comida. Lo mejor, las bravas, patata crujiente por fuera y bien hecha por dentro. La tortilla y la paella no estan nada mal para un sitio de este tipo. Por ponerle un pero, las tapas no las puedes elegir de inicio y quizas no te apetezca lo que sirven.",Hace 4 meses,10-20 €,,,,"Tapas Y Dobles de Cerveza, Patatas Bravas O Alioli, Tapa de Paella y Tortilla de Patata Chorizo Y Pan","Adrián Pineda González
Local Guide · 44 reseñas · 2 fotos






Hace 4 meses
Buen sitio donde a cada cerveza le acompaña una buena ración de comida. Lo mejor, las bravas, patata crujiente por fuera y bien hecha por dentro. La tortilla y la paella no estan nada mal para un sitio de este tipo. Por ponerle un pero, las tapas no las puedes elegir de inicio y quizas no te apetezca lo que sirven.
Precio por persona
10-20 €
Platos recomendados
Tapas Y Dobles de Cerveza, Patatas Bravas O Alioli, Tapa de Paella y Tortilla de Patata Chorizo Y Pan

Me gusta

Compartir"
Puro Vicio,Local Guide · 68 reseñas · 9 fotos,2 estrellas,"Volvería por los precios y las tapas que son bastante generosas (a pesar de que no las puedes elegir, son las que te pongan ellos) pero no merece la pena por el personal que tienen. Son secos, poco amables y el día que se dio el curso de atención al cliente, se nota que no fueron. Aparte de que la cerveza es de grifo y es Ambar. No, Madrid es muy grande y variado como para tener que aguantar ese trato por unas tapas XL.",Hace 4 meses,1-10 €,3,1,3,,"Puro Vicio
Local Guide · 68 reseñas · 9 fotos






Hace 4 meses
Volvería por los precios y las tapas que son bastante generosas (a pesar de que no las puedes elegir, son las que te pongan ellos) pero no merece la pena por el personal que tienen. Son secos, poco amables y el día que se dio el curso de atención al cliente, se nota que no fueron. Aparte de que la cerveza es de grifo y es Ambar. No, Madrid es muy grande y variado como para tener que aguantar ese trato por unas tapas XL.
Precio por persona
1-10 €
Comida: 3
Servicio: 1
Ambiente: 3

2

Compartir"
Nuria C,Local Guide · 184 reseñas · 225 fotos,5 estrellas,Uno de los mejores bares de tapas de Madrid. Es increíble la cantidad de comida que te dan con la bebida. Precio muy asequible.,Hace 9 meses,1-10 €,,,,,"Nuria C
Local Guide · 184 reseñas · 225 fotos






Hace 9 meses
Uno de los mejores bares de tapas de Madrid. Es increíble la cantidad de comida que te dan con la bebida. Precio muy asequible.
Precio por persona
1-10 €

3

Compartir"
Sofia C.,Local Guide · 73 reseñas · 221 fotos,5 estrellas,"Es para salir rodando de allí, con la bebida te ponen no una tapa si no 2 o 3 gigantes. Lo mismo te cae un platazo de bravas que un plato de paella y lo mejor es que esta rico. De lo más barato que podréis encontrar por la zona de Chamberi",Hace 2 años,,,,,,"Sofia C.
Local Guide · 73 reseñas · 221 fotos






Hace 2 años
Es para salir rodando de allí, con la bebida te ponen no una tapa si no 2 o 3 gigantes. Lo mismo te cae un platazo de bravas que un plato de paella y lo mejor es que esta rico. De lo más barato que podréis encontrar por la zona de Chamberi

6

Compartir"
Cristina Cm,41 reseñas · 80 fotos,5 estrellas,"Buen bar para tomar unas tapas, me cobraron 3'30€ por una caña con limón, me pusieron un plato con medio emparedado, una croqueta y patatas con tomate y mayonesa. Todo estaba muy rico.",Hace 4 meses,1-10 €,5,5,5,,"Cristina Cm
41 reseñas · 80 fotos






Hace 4 meses
Buen bar para tomar unas tapas, me cobraron 3'30€ por una caña con limón, me pusieron un plato con medio emparedado, una croqueta y patatas con tomate y mayonesa. Todo estaba muy rico.
Precio por persona
1-10 €
Comida: 5
Servicio: 5
Ambiente: 5

Me gusta

Compartir"
CelticTigerPub,7 reseñas,5 estrellas,"Ideal para cenar algo rápido y gratis con tu bebida antes de ir de fiesta. Tapas grandes,variadas y ricas. Muy recomendable!",Hace 3 meses,,5,5,5,,"CelticTigerPub
7 reseñas






Hace 3 meses
Ideal para cenar algo rápido y gratis con tu bebida antes de ir de fiesta. Tapas grandes,variadas y ricas. Muy recomendable!
Comida: 5
Servicio: 5
Ambiente: 5

Me gusta

Compartir"
Paula Pérez Fernández,Local Guide · 590 reseñas · 1.135 fotos,4 estrellas,"Bar mítico de tapas de Madrid.
Pedimos dos cervezas dobles (3€) cada una, creo recordar y de aperitivo nos pusieron un sándwich mixto, dos empanadillas y un plato de patatas braviolis, osea que superbien.
Lo único malo que tiene el local es que hay que pedir a la barra, no hay servicio a la mesa, lo que es un poco incómodo porque a veces se forman largas colas.
Está siempre lleno, osea que hay que tenerlo en cuenta para pillar sitio.
Los camareros van un poco agobiados y no siempre son agradables, pero bueno, puede ser comprensible.",Hace un año,,,,,,"Paula Pérez Fernández
Local Guide · 590 reseñas · 1.135 fotos






Hace un año
Bar mítico de tapas de Madrid.
Pedimos dos cervezas dobles (3€) cada una, creo recordar y de aperitivo nos pusieron un sándwich mixto, dos empanadillas y un plato de patatas braviolis, osea que superbien.
Lo único malo que tiene el local es que hay que pedir a la barra, no hay servicio a la mesa, lo que es un poco incómodo porque a veces se forman largas colas.
Está siempre lleno, osea que hay que tenerlo en cuenta para pillar sitio.
Los camareros van un poco agobiados y no siempre son agradables, pero bueno, puede ser comprensible.

4

Compartir"
Matias Fiorito,Local Guide · 59 reseñas · 146 fotos,5 estrellas,"Sin dudas uno de los mejores bares que ponen tapas de Madrid, abundantes y sobre todo ricas",Hace 6 meses,1-10 €,5,5,5,Tapas Y Dobles de Cerveza y Patatas Bravas O Alioli,"Matias Fiorito
Local Guide · 59 reseñas · 146 fotos






Hace 6 meses
Sin dudas uno de los mejores bares que ponen tapas de Madrid, abundantes y sobre todo ricas
Precio por persona
1-10 €
Comida: 5
Servicio: 5
Ambiente: 5
Platos recomendados
Tapas Y Dobles de Cerveza y Patatas Bravas O Alioli

1

Compartir"
Andrea Ranas,Local Guide · 496 reseñas · 1.204 fotos,5 estrellas,Tapas gigantes e inusuales (macarrones con tomate). Ideal para cenar barato. Tienen terraza pero hay que pedir dentro.,Hace un año,1-10 €,5,4,5,Tapas Y Dobles de Cerveza,"Andrea Ranas
Local Guide · 496 reseñas · 1.204 fotos






Hace un año
Tapas gigantes e inusuales (macarrones con tomate). Ideal para cenar barato. Tienen terraza pero hay que pedir dentro.
Servicio
Comí allí
Tipo de comida
Otro
Precio por persona
1-10 €
Comida: 5
Servicio: 4
Ambiente: 5
Platos recomendados
Tapas Y Dobles de Cerveza

2

Compartir"
Carol Perez,15 reseñas · 3 fotos,5 estrellas,"Bar cervecería ideal para tomar unas cervezas o unos vinos acompañados de una tapa muy generosa y grande. Las bravas están bastante bien, aunque el corte deberia ser más grande. La paella está bastante bien.
Si tienes poco presupuesto para cenar es tu sitio, cenas gratis. Para mí es parada obligatoria viernes o sábado picar algo rápido y luego me voy con mi novio y o amigos a echar un billar y unas cervezas al Celtic Tiger o al Pool and Beer que están al lado.",Hace 3 meses,1-10 €,4,5,5,"Tapas Y Dobles de Cerveza, Patatas Bravas O Alioli y Tapa de Paella","Carol Perez
15 reseñas · 3 fotos






Hace 3 meses
Bar cervecería ideal para tomar unas cervezas o unos vinos acompañados de una tapa muy generosa y grande. Las bravas están bastante bien, aunque el corte deberia ser más grande. La paella está bastante bien.
Si tienes poco presupuesto para cenar es tu sitio, cenas gratis. Para mí es parada obligatoria viernes o sábado picar algo rápido y luego me voy con mi novio y o amigos a echar un billar y unas cervezas al Celtic Tiger o al Pool and Beer que están al lado.
Precio por persona
1-10 €
Comida: 4
Servicio: 5
Ambiente: 5
Platos recomendados
Tapas Y Dobles de Cerveza, Patatas Bravas O Alioli y Tapa de Paella

1

Compartir"
Eduardo Prieto,Local Guide · 35 reseñas · 15 fotos,3 estrellas,Tapita de macarrones con el tinto de verano. De lo más random que me han servido en un bar,Hace 3 meses,1-10 €,2,2,4,,"Eduardo Prieto
Local Guide · 35 reseñas · 15 fotos






Hace 3 meses
Tapita de macarrones con el tinto de verano. De lo más random que me han servido en un bar
Precio por persona
1-10 €
Comida: 2
Servicio: 2
Ambiente: 4

1

Compartir"
Evelyn,Local Guide · 34 reseñas · 36 fotos,5 estrellas,"Un sitio SUPER recomendable. Los precios rondan los 3.50 por bebida, dependiendo de si es refresco o tinto, jarra, etc. Sin embargo, independientemente de que tu bebida sea más o menos barata las tapas incluidas te dejarán lleno. Croquetas, Sándwich mixto, paella, croquetas, incluso macarrones pueden servirte dependiendo del día. A cada ronda, una tapa diferente. Siempre que estoy por la zona paso por allí. La espera depende de la gente que haya porque te sirven por orden de llegada a la fila. Nosotros pedimos nos pedimos dos tintos y salimos llenos con una racion de bravas, un Sándwich y croquetas, por UNA RONDA.",Hace un año,1-10 €,5,5,5,Tapas Y Dobles de Cerveza,"Evelyn
Local Guide · 34 reseñas · 36 fotos






Hace un año
Un sitio SUPER recomendable. Los precios rondan los 3.50 por bebida, dependiendo de si es refresco o tinto, jarra, etc. Sin embargo, independientemente de que tu bebida sea más o menos barata las tapas incluidas te dejarán lleno. Croquetas, Sándwich mixto, paella, croquetas, incluso macarrones pueden servirte dependiendo del día. A cada ronda, una tapa diferente. Siempre que estoy por la zona paso por allí. La espera depende de la gente que haya porque te sirven por orden de llegada a la fila. Nosotros pedimos nos pedimos dos tintos y salimos llenos con una racion de bravas, un Sándwich y croquetas, por UNA RONDA.
Precio por persona
1-10 €
Comida: 5
Servicio: 5
Ambiente: 5
Platos recomendados
Tapas Y Dobles de Cerveza
Plaza de aparcamiento
Es difícil aparcar
Opciones de aparcamiento
Aparcamiento en la calle gratuito, Aparcamiento en la calle de pago y Parking de pago
Aparcamiento
Para aparcar por la zona es difícil, hay que dar bastantes vueltas, además de que es zona de pago. Sin embargo, hay muchos parkings.

2

Compartir"
Rethna Cancionlejana,Local Guide · 2.066 reseñas · 9.130 fotos,4 estrellas,"Sitio de tapeo muy mítico en esa zona de Madrid (Argüelles).
Con una bebida ponen al menos dos platos diferentes de tapas, desde la típica tortilla de patata hasta mini hamburguesas.
Tiene dos problemas: se masifica mucho hasta tal punto que no controlan aforo y es agobiante y que no se puede pagar con tarjeta.
Pero si vas a horas poco concurridas se está de manera muy agradable, sobre todo en verano en la terraza.",Hace 6 años,,,,,,"Rethna Cancionlejana
Local Guide · 2.066 reseñas · 9.130 fotos






Hace 6 años
Sitio de tapeo muy mítico en esa zona de Madrid (Argüelles).
Con una bebida ponen al menos dos platos diferentes de tapas, desde la típica tortilla de patata hasta mini hamburguesas.
Tiene dos problemas: se masifica mucho hasta tal punto que no controlan aforo y es agobiante y que no se puede pagar con tarjeta.
Pero si vas a horas poco concurridas se está de manera muy agradable, sobre todo en verano en la terraza.

1

Compartir"
Diego,Local Guide · 129 reseñas · 163 fotos,3 estrellas,"Cañas y con cada caña su ración.  Tapas abundantes, de batalla, pero van perfectas.

La típica cervecería de Madrid, de las que ya pocas quedan.",Hace 7 meses,1-10 €,3,5,3,Tapas Y Dobles de Cerveza,"Diego
Local Guide · 129 reseñas · 163 fotos






Hace 7 meses
Cañas y con cada caña su ración.  Tapas abundantes, de batalla, pero van perfectas.

La típica cervecería de Madrid, de las que ya pocas quedan.
Precio por persona
1-10 €
Comida: 3
Servicio: 5
Ambiente: 3
Platos recomendados
Tapas Y Dobles de Cerveza

Me gusta

Compartir"
Isabel Gimbel Muñoz,Local Guide · 273 reseñas · 879 fotos,4 estrellas,"[ACTUALIZACIÓN MARZO 2021]

Después de intentarlo en varias ocasiones, finalmente encontramos sitio este fin de semana. Es aconsejable que vayáis pronto, no más tarde de las 7 (o que tengáis suerte, porque suele estar muy lleno.

Ya había ido en otras ocasiones, y el sitio sigue igual. Es un muy buen sitio para ir a tomar una bebida y salir con el estómago lleno. La verdad que es 100% recomendable porque además la comida está muy buena.

[2020]

Me parece un poco mal que no informen de sus horarios, de si cierran un día o no. Ya me ha pasado en muchas ocasiones.",Hace 3 años,,,,,,"Isabel Gimbel Muñoz
Local Guide · 273 reseñas · 879 fotos






Hace 3 años
[ACTUALIZACIÓN MARZO 2021]

Después de intentarlo en varias ocasiones, finalmente encontramos sitio este fin de semana. Es aconsejable que vayáis pronto, no más tarde de las 7 (o que tengáis suerte, porque suele estar muy lleno.

Ya había ido en otras ocasiones, y el sitio sigue igual. Es un muy buen sitio para ir a tomar una bebida y salir con el estómago lleno. La verdad que es 100% recomendable porque además la comida está muy buena.

[2020]

Me parece un poco mal que no informen de sus horarios, de si cierran un día o no. Ya me ha pasado en muchas ocasiones.

2

Compartir
Respuesta del propietario Hace 3 años
Hola Isabel estoy de acuerdo que estejas dê gustada pero somos , muy poco personal yo soy la persona de la cocina y acabo de ser operada y mi salud no me permite saber cuando puedo estar bien . Un saludo"
Julia,Local Guide · 134 reseñas · 100 fotos,5 estrellas,"Excelente como siempre! La atención inmejorable, las cañas frías, las tapas ricas y abundantes 😍",hace 4 días,1-10 €,5,5,5,,"Julia
Local Guide · 134 reseñas · 100 fotos






hace 4 días
NUEVA
Excelente como siempre! La atención inmejorable, las cañas frías, las tapas ricas y abundantes 😍
Precio por persona
1-10 €
Comida: 5
Servicio: 5
Ambiente: 5

Me gusta

Compartir"
Filly I.,Local Guide · 9 reseñas · 94 fotos,1 estrella,"Estafa .!  Pedí una caña doble más un acuarius de limón y solo
Me dieron una tapa !   Cuando al lado les daban tres tapas por cañas que pedían (. Obvio eran tres personas y nosotros dos ).

La verdad me acerqué por publicidad de tick tok   …, pero tampoco volvería  prefiero el tigre de la calle Hortaleza .   Ese si te da bien",Hace 4 meses,10-20 €,,,,,"Filly I.
Local Guide · 9 reseñas · 94 fotos






Hace 4 meses
Estafa .!  Pedí una caña doble más un acuarius de limón y solo
Me dieron una tapa !   Cuando al lado les daban tres tapas por cañas que pedían (. Obvio eran tres personas y nosotros dos ).

La verdad me acerqué por publicidad de tick tok   …, pero tampoco volvería  prefiero el tigre de la calle Hortaleza .   Ese si te da bien
Precio por persona
10-20 €

1

Compartir"
Javier G,Local Guide · 334 reseñas · 171 fotos,5 estrellas,Lo mejor del barrio.esto es .lo mejor   el Sierra  es la cuna  del  la tapa gratis.con la consumición.  Calidad y cantidad.  terraza   con un ambiente  muy agradable  .precios  populares  y muy atractivos  .se recomienda  llegar pronto a la terraza  .siempre está. Muy  ocupada  gracias  volveremos..,Hace 4 meses,,,,,,"Javier G
Local Guide · 334 reseñas · 171 fotos






Hace 4 meses
Lo mejor del barrio.esto es .lo mejor   el Sierra  es la cuna  del  la tapa gratis.con la consumición.  Calidad y cantidad.  terraza   con un ambiente  muy agradable  .precios  populares  y muy atractivos  .se recomienda  llegar pronto a la terraza  .siempre está. Muy  ocupada  gracias  volveremos..

Me gusta

Compartir"
Doble Erre,Local Guide · 551 reseñas · 869 fotos,5 estrellas,"Tapas gigantes, ricas y con buen precio de la bebida.
Un imprescindible si te gusta comer hasta reventar, no te gusta cocinar y no te quieres gastar mucho dinero.",Hace 3 años,,,,,,"Doble Erre
Local Guide · 551 reseñas · 869 fotos






Hace 3 años
Tapas gigantes, ricas y con buen precio de la bebida.
Un imprescindible si te gusta comer hasta reventar, no te gusta cocinar y no te quieres gastar mucho dinero.

1

Compartir"
Maria M.V.,Local Guide · 338 reseñas · 393 fotos,4 estrellas,Para lo que valen las cervezas y te llevas aperitivo está genial. La gracia del camarero no existe pero para que me cobre tampoco me importó si no era el más majo del local. Fui por recomendación así que no me queda otra que recomendarlo.,Hace un año,,5,3,3,,"Maria M.V.
Local Guide · 338 reseñas · 393 fotos






Hace un año
Para lo que valen las cervezas y te llevas aperitivo está genial. La gracia del camarero no existe pero para que me cobre tampoco me importó si no era el más majo del local. Fui por recomendación así que no me queda otra que recomendarlo.
Comida: 5
Servicio: 3
Ambiente: 3

3

Compartir"
rocio gutierrez parra,4 reseñas · 3 fotos,5 estrellas,"Me encantó el local, sentí que estaba comiendo comida de casa española! Además es muy barato y te regalan la comida por compra de cerveza! Que además estaba riquísima",Hace 10 meses,1-10 €,5,5,5,"Tapas Y Dobles de Cerveza, Patatas Bravas O Alioli, Tapa de Paella y Tortilla de Patata Chorizo Y Pan","rocio gutierrez parra
4 reseñas · 3 fotos






Hace 10 meses
Me encantó el local, sentí que estaba comiendo comida de casa española! Además es muy barato y te regalan la comida por compra de cerveza! Que además estaba riquísima
Precio por persona
1-10 €
Comida: 5
Servicio: 5
Ambiente: 5
Platos recomendados
Tapas Y Dobles de Cerveza, Patatas Bravas O Alioli, Tapa de Paella y Tortilla de Patata Chorizo Y Pan

Me gusta

Compartir"
Antia GN,1 reseña,5 estrellas,"El sitio es increíble, con cada bebida te sirven una tapa súper abundante. Vaya q por 3€ comes. Súper recomendable.",Hace 3 meses,1-10 €,4,4,4,"Tapas Y Dobles de Cerveza, Tapas de Patatas Mixtas Y Tapa de Croquetas Con Sandwich Mixto y Patatas Bravas Sándwich Mixto Y Croquetas","Antia GN
1 reseña






Hace 3 meses
El sitio es increíble, con cada bebida te sirven una tapa súper abundante. Vaya q por 3€ comes. Súper recomendable.
Precio por persona
1-10 €
Comida: 4
Servicio: 4
Ambiente: 4
Platos recomendados
Tapas Y Dobles de Cerveza, Tapas de Patatas Mixtas Y Tapa de Croquetas Con Sandwich Mixto y Patatas Bravas Sándwich Mixto Y Croquetas

Me gusta

Compartir"
Gonzalo Molina,Local Guide · 40 reseñas · 25 fotos,5 estrellas,"Ya echaba de menos volver a este sitio!
Si lo que buscas es tomarte unas cañas y salir comido/cenado, este es tu sitio.
El bar lo lleva una familia que son unos currantes de toda la vida, ágiles en su trabajo (y eso que el sitio suele estar a reventar siempre) y agradables.
He leído algunas reseñas en las que dicen no ser simpáticos, pero conmigo siempre se han portado genial, simplemente hay que ir con educación y sabiendo que están a tope siempre!
Gracias! Volveremos siempre que podamos!",Hace 3 años,,,,,,"Gonzalo Molina
Local Guide · 40 reseñas · 25 fotos






Hace 3 años
Ya echaba de menos volver a este sitio!
Si lo que buscas es tomarte unas cañas y salir comido/cenado, este es tu sitio.
El bar lo lleva una familia que son unos currantes de toda la vida, ágiles en su trabajo (y eso que el sitio suele estar a reventar siempre) y agradables.
He leído algunas reseñas en las que dicen no ser simpáticos, pero conmigo siempre se han portado genial, simplemente hay que ir con educación y sabiendo que están a tope siempre!
Gracias! Volveremos siempre que podamos!

Me gusta

Compartir"
Susanna G,Local Guide · 140 reseñas · 349 fotos,5 estrellas,"Buen establecimiento para tomar unas buenas tapas.
Pides bebida y la acompañan con una rica y gran tapa.
Perfecto para hacer una parada allí",Hace 2 años,,,,,,"Susanna G
Local Guide · 140 reseñas · 349 fotos






Hace 2 años
Buen establecimiento para tomar unas buenas tapas.
Pides bebida y la acompañan con una rica y gran tapa.
Perfecto para hacer una parada allí
Servicio
Comí allí
Tipo de comida
Comida
2 más

1

Compartir"
Andrea Calle,Local Guide · 35 reseñas · 137 fotos,5 estrellas,"Excelente relación precio calidad, ración de tapas generosa, muy buena ubicación.",Hace 7 meses,1-10 €,5,4,3,,"Andrea Calle
Local Guide · 35 reseñas · 137 fotos






Hace 7 meses
Excelente relación precio calidad, ración de tapas generosa, muy buena ubicación.
Precio por persona
1-10 €
Comida: 5
Servicio: 4
Ambiente: 3

Me gusta

Compartir"
MAR GRECA ALONSO,20 reseñas · 42 fotos,4 estrellas,"Bar bueno, bonito y barato!
Tomamos un vermut y un refresco (fueron 6 euros y poco) y de tapa nos pusieron: 2 croquetas, 1 bikini y un plato de patatas bravas! Personal amable",Hace 6 meses,1-10 €,4,4,4,,"MAR GRECA ALONSO
20 reseñas · 42 fotos






Hace 6 meses
Bar bueno, bonito y barato!
Tomamos un vermut y un refresco (fueron 6 euros y poco) y de tapa nos pusieron: 2 croquetas, 1 bikini y un plato de patatas bravas! Personal amable
Precio por persona
1-10 €
Comida: 4
Servicio: 4
Ambiente: 4

Me gusta

Compartir"
Ana Lucía Marín Martínez,6 reseñas,4 estrellas,"Terraza al sol con tapas para huir de los precios Madrileños. Relación calidad-precio buena. Si buscas algo gourmet no es tu sitio, pero si lo que te importa es el ambiente, la terraza, la cerveza fría y llenar la barriga está genial!",Hace 6 meses,1-10 €,3,5,5,,"Ana Lucía Marín Martínez
6 reseñas






Hace 6 meses
Terraza al sol con tapas para huir de los precios Madrileños. Relación calidad-precio buena. Si buscas algo gourmet no es tu sitio, pero si lo que te importa es el ambiente, la terraza, la cerveza fría y llenar la barriga está genial!
Precio por persona
1-10 €
Comida: 3
Servicio: 5
Ambiente: 5

Me gusta

Compartir"
rocio caceres,Local Guide · 31 reseñas · 76 fotos,5 estrellas,"que bien pasamos en este bar, por cada bebida te ponen una (gran) tapa; y sales cenado!!",Hace 2 años,,,,,,"rocio caceres
Local Guide · 31 reseñas · 76 fotos






Hace 2 años
que bien pasamos en este bar, por cada bebida te ponen una (gran) tapa; y sales cenado!!

4

Compartir"
Conchita López Lietor,12 reseñas,3 estrellas,"Horroroso sitio.
Doble,5 euros.
Aperitivo a granel pero no me extraña. Tienen que compensar pique no tienen carta!!
Son bastante bordes .
La terraza tiene un pase pero dentro… deprime!",Hace 5 meses,1-10 €,3,2,1,,"Conchita López Lietor
12 reseñas






Hace 5 meses
Horroroso sitio.
Doble,5 euros.
Aperitivo a granel pero no me extraña. Tienen que compensar pique no tienen carta!!
Son bastante bordes .
La terraza tiene un pase pero dentro… deprime!
Precio por persona
1-10 €
Comida: 3
Servicio: 2
Ambiente: 1

2

Compartir"
Guido Sartore,20 reseñas · 3 fotos,3 estrellas,"Estuvimos una hora, tomamos dos copas cada uno en ese rato y nos pidieron irnos si no seguíamos consumiendo. Nunca nos pasó algo así en un sitio",Hace 2 meses,,3,1,3,,"Guido Sartore
20 reseñas · 3 fotos






Hace 2 meses
Estuvimos una hora, tomamos dos copas cada uno en ese rato y nos pidieron irnos si no seguíamos consumiendo. Nunca nos pasó algo así en un sitio
Comida: 3
Servicio: 1
Ambiente: 3

Me gusta

Compartir"
Sergio Hernández,Local Guide · 131 reseñas · 121 fotos,5 estrellas,"Muy buen lugar para tapear. Junto a la bebida te ponen diferentes aperitivos para acompañar, como macarrones, patatas bravas, montaditos, empanadillas... Y todo a un precio de escándalo. Conviene ir con tiempo ya que siempre suele estar lleno.
El único punto negativo es que no se puede pagar con tarjeta, así que no olvides llevar efectivo.",Hace 6 años,,,,,,"Sergio Hernández
Local Guide · 131 reseñas · 121 fotos






Hace 6 años
Muy buen lugar para tapear. Junto a la bebida te ponen diferentes aperitivos para acompañar, como macarrones, patatas bravas, montaditos, empanadillas... Y todo a un precio de escándalo. Conviene ir con tiempo ya que siempre suele estar lleno.
El único punto negativo es que no se puede pagar con tarjeta, así que no olvides llevar efectivo.

Me gusta

Compartir"
Celia Ramón,Local Guide · 88 reseñas · 139 fotos,1 estrella,"No llegué a consumir nada porque el camarero fue muy borde.
Entramos a preguntar si podíamos ser 8 para tomar algo y nos dijeron que no, que en las mesas de la calle máximo se podían sentar 6 personas en cada una y que bajo ningún concepto podíamos juntar dos mesas.  Siendo 8 personas estaríamos llenando ambas mesas y no entiendo el problema en unir dos pero bueno. Sin embargo, no acabó aquí, el camarero también nos dijo que ese no era un sitio para cenar, cito textualmente: aquí no se viene a cenar, esto es para tomarse una copa y luego te vas a bailar a otro sitio.
Creo que hay formas mas educadas de decir las cosas, había varias mesas fuera con gente tomando algo y con unos platos enormes de comida.
Tampoco había ningún tipo de estufa fuera.
En conclusión, no lo recomiendo, y nunca volvería a ese lugar.",Hace un año,,,1,1,,"Celia Ramón
Local Guide · 88 reseñas · 139 fotos






Hace un año
No llegué a consumir nada porque el camarero fue muy borde.
Entramos a preguntar si podíamos ser 8 para tomar algo y nos dijeron que no, que en las mesas de la calle máximo se podían sentar 6 personas en cada una y que bajo ningún concepto podíamos juntar dos mesas.  Siendo 8 personas estaríamos llenando ambas mesas y no entiendo el problema en unir dos pero bueno. Sin embargo, no acabó aquí, el camarero también nos dijo que ese no era un sitio para cenar, cito textualmente: aquí no se viene a cenar, esto es para tomarse una copa y luego te vas a bailar a otro sitio.
Creo que hay formas mas educadas de decir las cosas, había varias mesas fuera con gente tomando algo y con unos platos enormes de comida.
Tampoco había ningún tipo de estufa fuera.
En conclusión, no lo recomiendo, y nunca volvería a ese lugar.
Servicio: 1
Ambiente: 1

7

Compartir"
Roberto S.,Local Guide · 639 reseñas · 2.124 fotos,3 estrellas,"El bar Sierra, en la calle Galileo, ofrece bebidas a precios un poco altos, y en el lote van porciones de tapas de considerable tamaño, aunque no de calidad. La comida que ofrece está basada en fritos y carbohidratos, de ningún modo sana. Sin embargo es popular entre estudiantes de la zona, pues piensan que el combo es a buen precio.",Hace un año,,,,,,"Roberto S.
Local Guide · 639 reseñas · 2.124 fotos






Hace un año
El bar Sierra, en la calle Galileo, ofrece bebidas a precios un poco altos, y en el lote van porciones de tapas de considerable tamaño, aunque no de calidad. La comida que ofrece está basada en fritos y carbohidratos, de ningún modo sana. Sin embargo es popular entre estudiantes de la zona, pues piensan que el combo es a buen precio.

Me gusta

Compartir"
MANUEL MARTIN BARBA,Local Guide · 29 reseñas · 12 fotos,5 estrellas,"Muy buenas tapas con la bebida,, tres euros la cerveza pero con las tapas que te ponen es genial",Hace un año,,5,5,5,,"MANUEL MARTIN BARBA
Local Guide · 29 reseñas · 12 fotos






Hace un año
Muy buenas tapas con la bebida,, tres euros la cerveza pero con las tapas que te ponen es genial
Comida: 5
Servicio: 5
Ambiente: 5

Me gusta

Compartir"
Marta Ruiz,2 reseñas,4 estrellas,"Perfecto para tomarse algo con amigos y ya de paso cenar, porque te ponen unas tapas muy generosas con la bebida",Hace un mes,1-10 €,3,5,5,Tapas Y Dobles de Cerveza,"Marta Ruiz
2 reseñas






Hace un mes
Perfecto para tomarse algo con amigos y ya de paso cenar, porque te ponen unas tapas muy generosas con la bebida
Precio por persona
1-10 €
Comida: 3
Servicio: 5
Ambiente: 5
Platos recomendados
Tapas Y Dobles de Cerveza

Me gusta

Compartir"
Beatriz Prieto,Local Guide · 90 reseñas · 137 fotos,5 estrellas,Maravilloso sitio para tomar unas cervecitas y unas maravillosas tapas!!!!,Hace 9 meses,,4,4,4,,"Beatriz Prieto
Local Guide · 90 reseñas · 137 fotos






Hace 9 meses
Maravilloso sitio para tomar unas cervecitas y unas maravillosas tapas!!!!
Comida: 4
Servicio: 4
Ambiente: 4

1

Compartir"
Alfonso Bero,Local Guide · 64 reseñas · 63 fotos,3 estrellas,"Bar de tapas grandes por cada consumición.
Recomiendo conocerlo para tomar algo con los amigos.",Hace un mes,1-10 €,3,3,3,Tapas Y Dobles de Cerveza,"Alfonso Bero
Local Guide · 64 reseñas · 63 fotos






Hace un mes
Bar de tapas grandes por cada consumición.
Recomiendo conocerlo para tomar algo con los amigos.
Precio por persona
1-10 €
Comida: 3
Servicio: 3
Ambiente: 3
Platos recomendados
Tapas Y Dobles de Cerveza

Me gusta

Compartir"
José Angel Merino Peluca,9 reseñas,1 estrella,"Sitio venido a más,camareros lentos x3 y mal humor co.tinuo parece que hay q dar gracias por pedir,merecen el cierre aparte de precios inflados por las tapas refritas",Hace un mes,10-20 €,3,1,1,,"José Angel Merino Peluca
9 reseñas






Hace un mes
Sitio venido a más,camareros lentos x3 y mal humor co.tinuo parece que hay q dar gracias por pedir,merecen el cierre aparte de precios inflados por las tapas refritas
Precio por persona
10-20 €
Comida: 3
Servicio: 1
Ambiente: 1

Me gusta

Compartir"
Isabel A.,Local Guide · 67 reseñas · 53 fotos,4 estrellas,Mi bar de caña-tapa de confianza. Las patatas bravas son una locura! Tapas enormes que te dan con la bebida.,Hace un mes,10-20 €,4,4,4,,"Isabel A.
Local Guide · 67 reseñas · 53 fotos






Hace un mes
Mi bar de caña-tapa de confianza. Las patatas bravas son una locura! Tapas enormes que te dan con la bebida.
Precio por persona
10-20 €
Comida: 4
Servicio: 4
Ambiente: 4

Me gusta

Compartir"
